08:29:56.379 [NamespaceSystem-akka.actor.default-dispatcher-5] INFO akka.event.slf4j.Slf4jLogger - Slf4jLogger started
08:29:58.947 [main] INFO com.firebase.server.forge.App$ - Listening at localhost:9000
14:10:36.792 [NamespaceSystem-akka.actor.default-dispatcher-144] WARN com.firebase.server.forge.App$ - Received service account token ya29...wT6I, assuming ownership.
14:10:58.283 [NamespaceSystem-akka.actor.default-dispatcher-146] WARN com.firebase.server.forge.App$ - Received service account token ya29...49sI, assuming ownership.
14:18:25.756 [NamespaceSystem-akka.actor.default-dispatcher-151] WARN com.firebase.server.forge.App$ - Received service account token ya29...uxNQ, assuming ownership.
14:19:03.673 [NamespaceSystem-akka.actor.default-dispatcher-154] WARN com.firebase.server.forge.App$ - Received service account token ya29...6urg, assuming ownership.
14:20:07.614 [NamespaceSystem-akka.actor.default-dispatcher-156] WARN com.firebase.server.forge.App$ - Received service account token ya29...lF4c, assuming ownership.
14:21:40.951 [NamespaceSystem-akka.actor.default-dispatcher-161] WARN com.firebase.server.forge.App$ - Received service account token ya29...lVgQ, assuming ownership.
15:16:40.025 [NamespaceSystem-akka.actor.default-dispatcher-177] WARN com.firebase.server.forge.App$ - Received service account token ya29...kJgI, assuming ownership.
16:11:39.120 [NamespaceSystem-akka.actor.default-dispatcher-192] WARN com.firebase.server.forge.App$ - Received service account token ya29...0rv4, assuming ownership.
16:55:45.268 [NamespaceSystem-akka.actor.default-dispatcher-204] WARN com.firebase.server.forge.App$ - Received service account token ya29...9odA, assuming ownership.
16:56:26.631 [NamespaceSystem-akka.actor.default-dispatcher-207] WARN com.firebase.server.forge.App$ - Received service account token ya29...pufA, assuming ownership.
17:02:01.418 [NamespaceSystem-akka.actor.default-dispatcher-212] WARN com.firebase.server.forge.App$ - Received service account token ya29...IXTQ, assuming ownership.
17:02:41.402 [NamespaceSystem-akka.actor.default-dispatcher-216] WARN com.firebase.server.forge.App$ - Received service account token ya29...Xg4U, assuming ownership.
17:06:47.977 [NamespaceSystem-akka.actor.default-dispatcher-222] WARN com.firebase.server.forge.App$ - Received service account token ya29...yT44, assuming ownership.
17:38:05.213 [NamespaceSystem-akka.actor.default-dispatcher-227] WARN com.firebase.server.forge.App$ - Received service account token ya29...zOd8, assuming ownership.
